Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,37.95,26697.00,26703.57,177.80005
1849,37.93,26773.00,26767.86,180.77100
1848,37.95,26848.00,26844.12,183.33899
1847,37.96,26923.00,26917.87,178.40430
1846,37.95,26997.00,26994.77,181.47583
1845,38.00,27071.00,27061.58,179.71338
1844,37.96,27144.00,27134.69,183.54028
1843,37.95,27217.00,27202.13,181.47583
1842,37.99,27290.00,27284.71,180.06592
1841,37.93,27362.00,27354.04,181.37524
1840,37.94,27433.00,27423.37,185.55457
1839,37.93,27504.00,27500.90,178.75659
1838,38.02,27576.00,27571.49,181.57666
1837,37.94,27646.00,27655.32,181.67725
1836,37.97,27716.00,27705.12,181.72754
1835,37.93,27785.00,27790.84,183.69141
1834,37.96,27855.00,27854.50,182.08008
1833,38.02,27924.00,27912.48,182.63403
1832,38.01,27992.00,27988.12,187.31689
1831,37.96,28060.00,28058.08,182.38208
1830,37.92,28128.00,28114.81,178.35400
1829,37.97,28195.00,28194.23,182.13049
1828,37.96,28262.00,28267.97,180.01550
1827,37.97,28329.00,28321.55,181.47583
1826,37.98,28395.00,28383.95,181.07300
1825,37.99,28461.00,28443.83,181.42542
1824,38.01,28526.00,28522.62,182.13037
1823,37.97,28591.00,28576.82,180.77075
1822,37.97,28656.00,28669.48,181.17371
1821,37.98,28721.00,28725.57,183.59070
1820,37.98,28785.00,28784.19,181.17371
1819,37.94,28848.00,28842.18,181.17383
1818,37.93,28911.00,28919.71,181.87866
1817,37.94,28974.00,28963.20,180.77075
1816,37.99,29037.00,29037.57,182.13049
1815,37.97,29100.00,29089.89,181.27441
1814,37.95,29162.00,29149.77,180.72046
1813,37.94,29223.00,29215.32,184.09424
1812,37.92,29285.00,29272.04,178.90784
1811,37.95,29346.00,29335.71,183.48999
1810,37.98,29406.00,29401.26,179.96533
1809,38.03,29468.00,29459.24,178.65601
1808,38.00,29527.00,29519.12,178.40417
1807,37.96,29587.00,29588.46,180.77075
1806,37.98,29646.00,29633.21,180.11621
1805,37.99,29705.00,29724.60,179.41138
1804,37.99,29764.00,29762.42,185.05103
1803,37.96,29823.00,29818.51,181.32471
1802,37.98,29881.00,29875.24,181.42554
1801,37.94,29939.00,29938.90,181.32471
1800,37.96,29996.00,29984.28,179.15942
1799,37.98,30054.00,30043.53,181.07300
1798,38.01,30111.00,30112.23,175.68506
1797,37.95,30167.00,30163.29,182.88574
1796,37.97,30224.00,30224.43,181.97937
1795,37.97,30280.00,30278.00,180.92200
1794,37.98,30336.00,30323.39,178.20288
1793,37.97,30391.00,30380.11,179.26025
1792,37.96,30447.00,30441.25,183.74170
1791,37.98,30501.00,30493.57,180.06592
1790,38.00,30556.00,30548.40,182.38220
1789,37.93,30611.00,30603.24,177.39722
1788,37.95,30665.00,30658.71,181.67725
1787,37.97,30719.00,30719.21,182.38220
1786,37.99,30773.00,30767.12,180.67017
1785,37.95,30826.00,30829.52,179.71350
1784,37.94,30879.00,30876.16,178.65601
1783,37.94,30932.00,30916.50,174.62769
1782,37.99,30985.00,30975.12,179.41138
1781,38.01,31037.00,31032.47,180.16663
1780,37.94,31088.00,31079.12,179.51208
1779,37.98,31140.00,31138.37,180.87158
1778,37.93,31192.00,31192.57,179.91492
