Wavelength,Temperature,TargetControlVoltage,ControlVoltage,ADCVoltage
1850,38.08,26698.00,26699.15,877.36816
1849,38.11,26774.00,26769.12,875.90784
1848,38.15,26850.00,26844.12,872.88660
1847,38.07,26924.00,26913.46,871.22498
1846,38.15,26999.00,27004.85,874.59863
1845,38.14,27073.00,27066.62,875.20288
1844,38.10,27145.00,27142.89,872.43335
1843,38.11,27218.00,27214.74,874.69934
1842,38.11,27291.00,27283.45,873.59167
1841,38.08,27363.00,27352.15,871.17468
1840,38.13,27435.00,27418.96,873.69226
1839,38.13,27506.00,27502.79,873.79309
1838,38.16,27577.00,27559.52,871.22510
1837,38.13,27648.00,27644.61,872.28235
1836,38.13,27718.00,27717.09,874.09521
1835,38.06,27787.00,27775.71,872.58447
1834,38.09,27856.00,27851.35,871.57739
1833,38.12,27925.00,27916.27,872.43335
1832,38.17,27994.00,27992.53,872.88672
1831,38.12,28061.00,28054.30,872.38306
1830,38.14,28130.00,28124.27,871.22485
1829,38.14,28197.00,28190.45,875.80713
1828,38.12,28263.00,28253.48,873.49084
1827,38.07,28330.00,28324.07,872.38318
1826,38.08,28396.00,28389.62,871.22510
1825,38.11,28462.00,28455.80,870.01648
1824,38.08,28527.00,28518.83,872.38306
1823,38.15,28593.00,28583.12,869.16040
1822,38.11,28657.00,28652.46,868.75769
1821,38.08,28722.00,28716.75,870.52002
1820,38.11,28786.00,28785.45,869.81506
1819,38.14,28850.00,28849.74,871.52710
1818,38.14,28913.00,28897.64,873.08813
1817,38.11,28976.00,28968.87,870.31860
1816,38.10,29038.00,29031.90,870.52002
1815,38.13,29102.00,29134.64,870.62073
1814,38.15,29164.00,29169.30,870.82227
1813,38.10,29224.00,29215.95,870.62085
1812,38.12,29286.00,29285.28,869.81506
1811,38.08,29347.00,29340.12,871.07397
1810,38.11,29407.00,29430.25,868.25403
1809,38.10,29468.00,29463.65,871.67810
1808,38.10,29528.00,29510.30,870.87244
1807,38.13,29589.00,29589.71,871.87952
1806,38.10,29647.00,29640.14,872.33276
1805,38.11,29706.00,29709.47,869.11011
1804,38.07,29765.00,29771.87,870.21777
1803,38.07,29824.00,29812.84,869.36182
1802,38.13,29883.00,29875.24,868.45544
1801,38.15,29941.00,29938.27,864.88037
1800,38.12,29997.00,29991.85,868.20361
1799,38.14,30056.00,30047.31,867.44849
1798,38.08,30112.00,30103.41,869.36182
1797,38.07,30168.00,30160.14,868.95898
1796,38.11,30225.00,30218.12,868.25415
1795,38.15,30282.00,30273.59,868.45544
1794,38.12,30337.00,30359.94,867.85132
1793,38.13,30393.00,30391.46,868.35486
1792,38.09,30448.00,30442.51,869.41223
1791,38.12,30503.00,30501.76,867.64990
1790,38.15,30558.00,30569.20,866.89453
1789,38.14,30613.00,30620.89,869.71436
1788,38.11,30666.00,30685.18,865.63562
1787,38.19,30721.00,30714.17,865.68604
1786,38.06,30773.00,30766.49,867.59961
1785,38.11,30827.00,30824.47,866.29028
1784,38.15,30881.00,30871.12,868.30444
1783,38.07,30933.00,30942.34,866.79395
1782,38.09,30985.00,30985.83,870.01648
1781,38.13,31038.00,31029.95,867.54919
1780,38.11,31090.00,31082.27,868.55627
1779,38.09,31141.00,31130.80,865.33350
1778,38.07,31193.00,31178.70,865.43433
1777,38.15,31245.00,31239.21,865.18250
1776,38.15,31296.00,31289.01,865.28320
1775,38.09,31346.00,31341.32,863.62158
1774,38.08,31396.00,31384.81,865.73633
1773,38.08,31446.00,31439.65,864.57837
1772,38.14,31497.00,31490.70,864.98096
1771,38.10,31547.00,31542.39,863.62158
1770,38.13,31597.00,31599.74,864.52783
1769,38.14,31646.00,31640.08,864.02429
1768,38.14,31695.00,31691.77,868.70728
1767,38.12,31744.00,31742.82,865.83704
1766,38.06,31791.00,31788.20,867.19666
1765,38.12,31841.00,31834.22,864.93066
1764,38.10,31889.00,31880.86,863.26904
1763,38.13,31937.00,31931.28,864.12512
1762,38.14,31984.00,31979.19,860.75146
1761,38.09,32031.00,32020.79,863.31946
1760,38.16,32079.00,32069.32,863.21863
1759,38.14,32126.00,32115.96,865.83704
1758,38.11,32172.00,32165.76,861.35559
1757,38.10,32219.00,32211.77,864.93079
1756,38.11,32265.00,32258.41,861.80884
1755,38.16,32311.00,32311.35,862.36267
1754,38.11,32357.00,32351.70,866.23999
1753,38.09,32402.00,32403.38,863.36975
1752,38.08,32447.00,32448.76,862.76538
1751,38.08,32492.00,32496.66,864.37671
1750,38.12,32538.00,32527.55,864.72937
1749,38.11,32583.00,32586.17,864.77979
1748,38.09,32627.00,32612.64,864.17542
1747,38.08,32671.00,32667.47,863.31934
1746,38.16,32715.00,32708.44,867.49878
1745,38.17,32760.00,32753.20,867.14636
1744,38.08,32803.00,32805.51,865.73645
1743,38.09,32846.00,32828.83,864.67896
1742,38.14,32890.00,32885.56,866.59253
1741,38.14,32933.00,32929.05,866.64270
1740,38.13,32975.00,32965.61,868.85828
1739,38.13,33018.00,33014.14,867.34766
1738,38.11,33061.00,33055.74,866.89453
1737,38.12,33103.00,33096.71,865.18237
1736,38.06,33144.00,33141.46,867.54907
1735,38.10,33187.00,33187.47,865.58533
1734,38.16,33229.00,33229.07,868.55615
1733,38.14,33270.00,33270.67,868.10303
1732,38.11,33311.00,33312.90,867.54919
1731,38.11,33352.00,33345.05,867.34778
1730,38.11,33393.00,33382.86,869.05981
1729,38.16,33434.00,33451.57,871.07397
1728,38.11,33474.00,33467.96,869.76477
1727,38.11,33514.00,33516.49,868.20386
1726,38.14,33555.00,33553.05,870.36902
1725,38.16,33595.00,33594.02,873.03784
1724,38.12,33634.00,33628.68,872.73560
1723,38.09,33673.00,33670.91,870.77185
1722,38.11,33713.00,33711.88,872.58459
1721,38.15,33753.00,33750.33,871.12427
1720,38.10,33791.00,33783.73,874.64917
1719,38.11,33830.00,33822.82,876.00867
1718,38.09,33868.00,33860.64,872.48389
1717,38.10,33907.00,33901.60,875.25317
1716,38.13,33945.00,33946.98,876.00867
1715,38.15,33984.00,33976.61,875.60583
1714,38.11,34021.00,34020.73,872.78589
1713,38.10,34058.00,34060.44,878.02271
1712,38.11,34096.00,34088.17,876.51221
1711,38.14,34134.00,34128.51,881.34619
1710,38.10,34170.00,34163.81,879.08020
1709,38.10,34207.00,34199.10,882.00073
1708,38.14,34245.00,34239.45,878.97949
1707,38.15,34282.00,34306.26,879.63403
1706,38.12,34318.00,34312.56,880.33899
1705,38.15,34355.00,34351.01,881.84973
1704,38.12,34390.00,34383.15,879.28162
1703,38.11,34426.00,34420.97,881.84973
1702,38.15,34463.00,34453.12,885.27368
1701,38.15,34498.00,34511.10,883.96448
1700,38.12,34533.00,34548.92,881.24536
1699,38.09,34568.00,34563.42,879.83557
1698,38.11,34604.00,34601.87,885.17297
1697,38.16,34639.00,34635.27,886.88501
1696,38.08,34673.00,34666.16,886.98572
1695,38.11,34708.00,34705.24,886.58289
1694,38.11,34743.00,34744.32,885.07239
1693,38.08,34777.00,34776.46,887.99292
1692,38.11,34812.00,34802.93,888.34534
1691,38.13,34846.00,34840.12,888.89929
1690,38.10,34879.00,34876.05,888.79846
1689,38.11,34913.00,34913.23,891.06445
1688,38.08,34946.00,34946.01,888.44604
1687,38.16,34980.00,34985.09,891.36670
1686,38.09,35012.00,35007.78,891.51770
1685,38.07,35046.00,35044.97,892.92761
1684,38.08,35079.00,35067.03,891.56787
1683,38.15,35112.00,35140.14,892.67578
1682,38.12,35145.00,35135.73,894.43811
1681,38.11,35177.00,35167.25,893.83386
1680,38.13,35209.00,35207.59,890.46021
1679,38.09,35241.00,35237.21,892.82690
1678,38.14,35274.00,35267.46,894.23669
1677,38.15,35305.00,35308.43,899.07068
1676,38.08,35337.00,35340.58,893.22974
1675,38.11,35369.00,35370.21,892.92749
1674,38.13,35400.00,35393.53,892.32324
1673,38.14,35431.00,35424.41,892.82678
1672,38.10,35462.00,35457.18,895.29419
1671,38.10,35493.00,35485.55,899.22180
1670,38.10,35524.00,35525.89,895.79785
1669,38.10,35555.00,35552.36,895.79773
1668,38.15,35585.00,35583.88,897.45935
1667,38.18,35617.00,35609.72,897.20764
1666,38.06,35645.00,35642.49,892.27295
1665,38.10,35676.00,35679.05,894.28711
1664,38.14,35706.00,35706.79,893.73315
1663,38.15,35736.00,35731.37,895.54602
1662,38.10,35766.00,35765.40,894.94177
1661,38.12,35795.00,35779.90,893.68286
1660,38.13,35824.00,35822.76,894.74036
1659,38.12,35854.00,35844.19,895.14319
1658,38.14,35883.00,35877.59,897.20776
1657,38.16,35912.00,35907.85,894.94177
1656,38.08,35941.00,35929.28,895.34460
1655,38.10,35969.00,35972.77,897.15735
1654,38.09,35998.00,35994.83,898.36572
1653,38.17,36027.00,36021.30,897.56018
1652,38.08,36055.00,36062.90,895.24390
1651,38.10,36083.00,36067.95,895.44519
1650,38.12,36111.00,36107.02,895.94885
1649,38.14,36139.00,36136.65,895.99902
1648,38.07,36166.00,36160.60,895.64661
1647,38.13,36194.00,36196.53,896.85522
1646,38.15,36222.00,36207.25,896.35156
1645,38.12,36249.00,36246.95,894.08569
1644,38.10,36276.00,36283.51,893.33032
1643,38.09,36303.00,36299.27,897.86230
1642,38.14,36331.00,36328.89,899.67493
1641,38.13,36357.00,36355.37,898.61768
1640,38.10,36384.00,36381.20,896.40186
1639,38.10,36410.00,36408.31,895.79785
1638,38.15,36438.00,36440.45,897.40906
1637,38.12,36463.00,36464.41,896.90552
1636,38.05,36489.00,36487.10,896.90552
1635,38.13,36515.00,36516.09,897.56018
1634,38.06,36541.00,36540.04,897.66077
1633,38.10,36567.00,36577.23,899.52393
1632,38.11,36593.00,36597.40,896.45239
1631,38.12,36618.00,36618.83,897.20776
1630,38.09,36644.00,36647.82,895.04248
1629,38.10,36669.00,36674.93,895.84802
1628,38.13,36694.00,36688.16,898.06372
1627,38.10,36719.00,36722.20,898.01331
1626,38.11,36744.00,36742.37,902.09204
1625,38.11,36769.00,36770.10,896.75452
1624,38.13,36794.00,36790.27,897.86218
1623,38.10,36818.00,36814.23,901.43738
1622,38.13,36843.00,36839.43,897.05664
1621,38.13,36867.00,36865.91,896.90552
1620,38.08,36891.00,36880.41,899.22192
1619,38.10,36915.00,36913.81,897.66077
1618,38.11,36940.00,36933.98,901.33667
1617,38.10,36963.00,36958.56,897.15723
1616,38.07,36987.00,36988.82,897.86218
1615,38.12,37011.00,37001.42,899.97717
1614,38.14,37035.00,37035.46,899.62451
1613,38.14,37058.00,37048.69,902.74658
1612,38.13,37081.00,37079.58,899.37292
1611,38.13,37104.00,37101.64,900.98413
1610,38.14,37127.00,37116.77,902.59558
1609,38.16,37151.00,37150.80,901.63879
1608,38.11,37173.00,37171.61,899.27222
1607,38.09,37195.00,37193.04,899.27222
1606,38.13,37218.00,37211.94,902.09204
1605,38.12,37241.00,37237.79,904.91187
1604,38.10,37262.00,37249.13,900.58130
1603,38.10,37285.00,37281.28,900.32959
1602,38.14,37308.00,37306.49,901.43738
1601,38.16,37330.00,37356.28,901.28625
1600,38.13,37351.00,37356.91,902.19263
1599,38.15,37373.00,37377.08,901.48767
1598,38.11,37394.00,37393.47,899.02026
1597,38.10,37416.00,37416.16,902.99829
1596,38.15,37438.00,37435.70,903.75366
1595,38.14,37459.00,37453.35,904.35791
1594,38.08,37480.00,37478.56,902.84717
1593,38.13,37501.00,37496.84,901.78979
1592,38.13,37522.00,37511.96,903.55225
1591,38.12,37543.00,37535.91,903.40112
1590,38.08,37563.00,37567.43,905.91895
1589,38.11,37585.00,37587.60,903.04871
1588,38.08,37605.00,37600.84,905.31458
1587,38.10,37625.00,37631.72,904.05566
1586,38.16,37646.00,37662.61,904.20679
1585,38.14,37666.00,37665.13,907.02673
1584,38.05,37685.00,37685.93,901.03442
1583,38.10,37706.00,37704.21,901.73950
1582,38.13,37726.00,37718.70,906.47278
1581,38.11,37745.00,37748.33,906.37207
1580,38.10,37765.00,37767.24,904.30750
1579,38.08,37785.00,37783.62,904.76074
1578,38.14,37805.00,37806.95,905.41541
1577,38.13,37824.00,37824.59,905.76782
1576,38.12,37843.00,37837.83,905.71741
1575,38.13,37862.00,37867.46,904.91187
1574,38.10,37881.00,37882.58,903.60266
1573,38.10,37900.00,37898.34,904.55933
1572,38.13,37919.00,37919.14,906.52319
1571,38.10,37938.00,37933.64,904.91187
1570,38.11,37957.00,37959.48,902.54517
1569,38.11,37975.00,37967.67,902.34375
1568,38.10,37993.00,37991.00,904.55933
1567,38.08,38012.00,38012.43,903.35083
1566,38.07,38029.00,38030.70,907.73157
1565,38.12,38048.00,38053.39,902.94800
1564,38.08,38066.00,38060.33,904.81104
1563,38.13,38084.00,38089.32,904.25720
1562,38.15,38102.00,38093.10,906.42236
1561,38.11,38120.00,38124.62,901.84021
1560,38.12,38137.00,38135.33,903.04871
1559,38.10,38155.00,38158.65,906.27136
1558,38.14,38172.00,38173.78,906.92603
1557,38.13,38190.00,38186.39,905.51599
1556,38.10,38207.00,38212.23,901.68921
1555,38.14,38224.00,38208.45,904.45862
1554,38.13,38241.00,38238.07,904.30762
1553,38.13,38258.00,38258.24,907.53015
1552,38.16,38275.00,38275.89,901.13525
1551,38.12,38291.00,38276.52,906.77490
1550,38.15,38300.00,38304.25,904.60962
