"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";" 9774015951 ";"WA-SMST_9774XXX951_9774015951";"WA-SMST_9774015951";"MP3, MP4";"WA-SMST SMT Steel Spacer Ø 2.7 Internal non stop";"";
"2";" 9774040951 ";"WA-SMST_9774XXX951_9774040951";"WA-SMST_9774040951";"MP1, MP2";"WA-SMST SMT Steel Spacer Ø 2.7 Internal non stop";"";
"5";"100k";"R-EU_R0402";"R0402";"DC/DC1:R7, DC/DC1:R8, IN1:R1, IN1:R4, MCU1:R1";"RESISTOR, European symbol";"";
"17";"100nF";"C-EUC0402";"C0402";"DC/DC1:C10, DC/DC1:C11, IN1:C2, IN1:C5, LIGHT1:C2, MCU1:C1, MCU1:C2, MCU1:C4, MCU1:C5, MCU1:C6, MCU1:C7, MCU1:C8, MCU1:C9, MCU1:C10, MCU1:C11, MCU1:C13, MCU1:C15";"CAPACITOR, European symbol";"";
"9";"100nF";"C-EUC0603K";"C0603K";"DC/DC1:C5, DC/DC1:C6, DC/DC1:C7, DC/DC1:C8, DC/DC1:C9, IN1:C7, IN1:C9, LIGHT1:C4, LIGHT1:C5";"CAPACITOR, European symbol";"";
"3";"100pF";"C-EUC0402";"C0402";"MCU1:C14, MCU1:C16, MCU1:C20";"CAPACITOR, European symbol";"";
"13";"10k";"R-EU_R0402";"R0402";"DC/DC1:R3, DC/DC1:R4, DC/DC1:R10, IN1:R3, IN1:R5, IN1:R8, LIGHT1:R2, LIGHT1:R3, LIGHT1:R4, LIGHT1:R5, LIGHT1:R6, MCU1:R4, MCU1:R6";"RESISTOR, European symbol";"";
"1";"10k0.1%";"R-EU_R0402";"R0402";"DC/DC1:R5";"RESISTOR, European symbol";"";
"1";"10mOhm";"WRIS-PSMB_0603_580060716002_1.6X0.8X0.3X0.3";"WRIS-PSMB_0603_1.6X0.8X0.3X0.3(LXWXHXPW)";"LIGHT1:R9";"WRIS-PSMB Metal Plate Resistors";"";
"2";"10pF";"C-EUC0402";"C0402";"MCU1:C17, MCU1:C18";"CAPACITOR, European symbol";"";
"4";"10uF";"C-EUC0603K";"C0603K";"IN1:C3, IN1:C6, MCU1:C3, MCU1:C12";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC0805K";"C0805K";"LIGHT1:C3, LIGHT1:C6";"CAPACITOR, European symbol";"";
"3";"10uF";"C-EUC1210K";"C1210K";"DC/DC1:C3, DC/DC1:C4, IN1:C4";"CAPACITOR, European symbol";"";
"1";"115k0.1%";"R-EU_R0402";"R0402";"DC/DC1:R9";"RESISTOR, European symbol";"";
"1";"120k";"R-EU_R0402";"R0402";"IN1:R7";"RESISTOR, European symbol";"";
"1";"16MHz";"WE-XTAL_CFPX-218_830069392";"WE-XTAL_CFPX-218";"MCU1:Y1";"WE-XTAL Quartz Crystal";"";
"7";"1R";"R-EU_R0402";"R0402";"DC/DC1:R1, DC/DC1:R2, LIGHT1:R1, MCU1:R5, MCU1:R7, MCU1:R10, MCU1:R12";"RESISTOR, European symbol";"";
"2";"1uF";"C-EUC1210K";"C1210K";"DC/DC1:C1, DC/DC1:C2";"CAPACITOR, European symbol";"";
"1";"2.2uH";"WE-LQ_1210_744032002";"WE-LQ_1210";"IN1:L1";"WE-LQ SMD Inductor";"";
"1";"20k0.1%";"R-EU_R0402";"R0402";"MCU1:R8";"RESISTOR, European symbol";"";
"2";"220uH";"WE-LQ_1210_744032221";"WE-LQ_1210";"DC/DC1:L1, DC/DC1:L2";"WE-LQ SMD Inductor";"";
"2";"240k";"R-EU_R0402";"R0402";"MCU1:R2, MCU1:R11";"RESISTOR, European symbol";"";
"2";"3.3nF/25V";"C-EUC0402";"C0402";"IN1:C1, IN1:C8";"CAPACITOR, European symbol";"";
"2";"301R";"R-EU_R0402";"R0402";"MCU1:R3, MCU1:R9";"RESISTOR, European symbol";"";
"1";"330k";"R-EU_R0402";"R0402";"IN1:R2";"RESISTOR, European symbol";"";
"1";"513380274";"513380274SIMPLE";"513380274";"X2";"513380274";"";
"1";"53261-02";"53261-02";"53261-02";"LIGHT1:X1";"CONNECTOR";"";
"1";"533071071";"533071071SMD";"533071071";"X4";"533071071";"";
"1";"559090274";"559090274";"559090274";"X1";"559090274";"";
"1";"6.2k";"R-EU_R0402";"R0402";"IN1:R6";"RESISTOR, European symbol";"";
"1";"C13272-02";"C13272-028PIN";"C13272-02";"SENSOR1:U1";"C13272-02";"";
